,A,B-1,B-2,C-1,C-2,D,E,F,G,H-1,H-2
GTEX-12WSI-0826-SM-5EGKD,1.44982909511251,0.0869562194615884,-0.029114706621121,0.437370560919442,0.644007282514051,-0.707511838701104,0.90934894127893,0.356099008494738,1.04790836871146,-2.32463457625722,2.85290462159366
GTEX-12WSJ-0226-SM-5GCP7,-0.942111355663815,0.900896239100537,-0.252022929325791,-0.512499691670224,0.367883821035444,0.708857245965553,0.280282501130398,-0.317584820883132,0.598858741453188,6.34833793188669,-6.32941105751828
GTEX-12WSK-0826-SM-5CVNP,-0.509644038449257,0.230132948173261,-0.25622033190441,-0.792997472902168,1.62510090983431,0.463227718824107,0.00163843882790203,0.729829723874856,0.456604258402986,6.55523276683568,-6.19490431598416
GTEX-12WSL-1026-SM-5CVNJ,-1.01531989848192,0.404502375327796,-0.522577721066722,-0.73147396191145,0.547718010564847,0.496563159761726,-0.893770694290303,0.835268493227005,-0.732966948696828,-2.77436708018814,2.87910453130989
GTEX-12WSN-5004-SM-793CE,0.113162949747299,0.550476297454437,-0.519765139882961,0.897103756636175,-0.88372724976601,0.177874247332069,0.355221040419848,0.0047965891710814,-1.14681444231193,-2.0740966255348,2.62226670277744
GTEX-12ZZW-0926-SM-5LZUD,0.823920498588177,-0.530941592308904,-0.423404770782037,-0.5717130699124,-2.42086375436504,-0.727567314355042,-0.990989179287339,0.188362596041844,-0.55840213625171,-2.52355808792056,2.72138116347564
GTEX-12ZZY-0926-SM-5EQ6I,0.15974710583806,-0.806021650207943,-0.0320039694766924,0.396040740638939,-0.286526428971081,-0.737586363008791,-0.868425796020869,0.941239748955935,-0.885478605724815,-2.64294773648581,2.91516469831607
GTEX-13111-0426-SM-5DUXR,0.754277065455781,0.673448665961139,-0.638436751210895,0.143488145027272,-1.27175667576088,0.204614999949662,1.58902854948934,0.0744632306064823,0.314914702904978,-3.38542537401209,3.05042711643884
GTEX-13113-5004-SM-79ONL,-0.325004963691142,0.62622820420267,-0.502677299501844,-0.502466297131335,0.809751506592173,-0.00473864815685679,-1.7480816227398,-0.153367400584257,-0.26175118988652,3.93035331480105,-6.58893024934682
GTEX-1313W-0926-SM-5EQ56,-0.305524086099942,-0.032104702208961,0.40039044800417,0.292955246718027,-1.05932106271016,-0.481643252386594,0.158968726499411,0.923053205310676,1.70161530103118,6.58451932284911,-5.75420512559782
GTEX-131XE-0726-SM-5HL9K,-0.700656422563028,-0.162838998396611,0.0236087704153138,-0.260555120476286,-0.619279519822673,0.355318025640475,-1.20225841756616,-0.00675995123655369,1.02814418252098,-2.45787090990616,2.8568421355738
GTEX-131XF-1026-SM-5BC6A,-0.178445194135851,0.428198223258835,-0.590953434279629,0.33308328056537,-1.01599305714156,1.07121438586313,0.476758411790936,0.168865583923921,-0.225148117803873,-4.00382501824826,2.90724580238983
GTEX-131XH-0426-SM-5DUWU,1.28904042444822,0.165564542213926,0.798716516352551,1.02697069740483,-0.526246594057942,0.290424260553695,1.201963442734,2.18795937206738,0.949185143135876,-1.77186414584606,3.08966621817382
GTEX-131XW-1126-SM-5EGK4,-0.765284129949926,-0.882369192310698,0.194026400719626,-0.291373579168114,-1.52403476143724,-0.576707721752602,-0.874704256735903,0.399715639846399,-0.0887429354672878,6.55081559711918,-5.93399370997548
GTEX-131YS-0926-SM-5IJB9,0.361186941217123,-0.443551667877787,-0.382755857703543,1.08580342569984,-1.44335032418994,-0.775349866258729,-0.0976765648756187,0.854258454055547,-0.844337747625509,7.10397200303703,-6.22112245410148
GTEX-132NY-1226-SM-5PNVF,-0.301910951417226,0.184980364619999,0.968092187567052,-0.231375198725071,-0.307087168192392,-0.732391789274691,-0.552764378575848,0.0736383345533065,1.10568224031228,-2.76874979529548,2.92097617036214
GTEX-132QS-0726-SM-5IJE9,0.187348716481271,0.633785179226218,-0.341323968357065,-0.525866226225196,0.00446838969529395,0.742221579514797,-0.0276995459375131,-1.29508499990784,-0.362994848947187,-2.85338453830131,2.52875503805965
GTEX-1339X-0626-SM-5IJER,-0.591494748077947,0.726918171159685,-0.350279033087127,-0.891129894106304,-3.485093371986,0.705849579519869,-0.498174093217307,-1.22583464943421,-0.0668146897636261,-2.46233548082936,3.0891066919875
GTEX-133LE-0526-SM-5N9EJ,0.576254986245885,0.616605596312672,-0.462070926045412,0.0314282890043729,0.466337962122031,0.629192416703644,-0.282545669653551,-1.39527460287452,-0.33155857472216,6.04034491537044,-6.34532176921275
GTEX-1399S-1726-SM-5L3DI,-0.230132954449162,0.699938905929424,-0.696208741526988,0.10706592435672,-2.0574185531713,0.521765933505269,0.475310071254972,0.86083149777674,-0.767808802238993,6.66770093561855,-6.24042558643666
GTEX-1399U-0826-SM-5KM1P,1.22008041712223,0.715555756777786,-0.665427911212255,-0.15368041722104,-1.96437972861947,-0.568239855868363,0.00353910744753701,0.37341078055929,0.572095359458814,6.52449762303079,-6.23054009302937
GTEX-139T6-0426-SM-5IJEM,-0.65754866167259,0.568101144005671,-0.366660388025081,0.0849775789816435,2.22201686251545,0.72148391608416,-0.870070402126204,-1.28371002856138,-0.459462545121239,-2.96807685206295,2.67669142861245
GTEX-139TT-0726-SM-5K7XW,-0.380844183223873,-0.627652796953127,0.754083145442655,-0.337627751407196,-0.717664337632407,-0.636567619775533,-0.791874233037502,0.996133132088876,1.15751601169215,-2.60345131421377,2.95976305817961
GTEX-139UW-0226-SM-5K7WU,-0.903079667237409,-0.228825783096011,0.565505086581074,1.1538960771395,-0.959828560944968,-0.854805916586913,0.225081773950952,1.03707656225938,0.715595022284537,-2.6702543979412,2.83878755657391
GTEX-139YR-0926-SM-5LZYB,-0.704124663202412,0.506748400447169,0.134817672094319,-1.37128641722666,3.17408377082569,-0.446744161898687,0.571209313285834,-0.175317559512909,0.131100535800382,-4.17830825281713,2.70819864448749
GTEX-13CF3-0426-SM-5IJEU,0.0244901434522333,0.432770403151338,0.233040983360831,-0.915163183064757,0.888884802519924,0.589440899021682,0.817855137798023,-1.40123495231016,-0.0168872256835555,6.3111277017363,-6.19056646609612
GTEX-13D11-0326-SM-5LZXX,0.815709527924123,0.641655767190681,-0.224783564936796,-0.761641911497448,1.43370521263281,-0.404816666918352,0.751814577559434,-0.57821050575133,-0.467396407877284,6.41224738399544,-7.1828771032761
GTEX-13FH7-1726-SM-5IJE7,1.18077850548882,0.565315960288941,-0.105574237334536,-0.602648531982048,1.09507107697648,0.691187240660858,0.416441726392421,-1.25940792946197,0.374277504679585,6.46309002408769,-6.53945599832443
